Actor,Birthday
Jennifer Love Hewitt,1979-02-21
Sanaa Lathan,1971-09-19
John Slattery,1962-08-13
Freddie Highmore,1992-02-14
Alexa Vega,1988-08-27
Shailene Woodley,1991-11-15
Franka Potente,1974-07-22
Tracy Morgan,1968-11-10
Mandy Moore,1984-04-10
Seth MacFarlane,1973-10-26
Cam Gigandet,1982-08-16
Christine Taylor,1971-07-30
Whitney Houston,1963-08-09
David Duchovny,1960-08-07
Andy Samberg,1978-08-18
Mary Elizabeth Winstead,
Hailee Steinfeld,1996-12-11
Miles Teller,1987 -02-20
Ryan Gosling,1980-11-12
Emma Roberts,1991-02-10
Dana Carvey,1955-06-02
Blake Lively,1987-08-25
Ben Foster,1980-10-29
Hayden Panettiere,1989-08-21
Ansel Elgort,1994-03-14
Mia Wasikowska,1989-10-14
Brandon T. Jackson,1984-03-07
Rutger Hauer,1944-01-23
January Jones,1978-01-05
Freida Pinto,1984-10-18
Lily Collins,1989-03-18
Ron Livingston,1967-06-05
Jon Heder,1977-10-26
Olga Kurylenko,1979-11-14
Emmy Rossum,1986-09-12
Jonathan Rhys Meyers,1977-07-27
Rebel Wilson,1980-03-02
Lukas Haas,1976-04-16
Ty Burrell,1967-08-22
Nick Frost,1972-03-28
Dev Patel,1990-04-23
Adam Brody,1979-12-15
Jon Hamm,1971-03-10
John Krasinski,1979-10-20
Dan Fogler,1976-10-20
Rory Culkin,1989-07-21
Jemaine Clement,1974-01-10
Damon Wayans,1960-09-04
Mindy Kaling,1979-06-24
Rashida Jones,1976-02-25
Olivia Thirlby,1986-10-06
Diego Luna,1979-12-29
Teresa Palmer,1986-02-26
Ginnifer Goodwin,1978-05-22
Noomi Rapace,1979-12-28
Karen Gillan,1987-11-28
Michelle Trachtenberg,1985-10-11
Miley Cyrus,1992-11-23
Nia Vardalos,1962-09-24
Clark Duke,1985-05-05
Snoop Dogg,1971-10-20
Philip Kaufman,1936-10-23
Jamie Harris,1979-06-28
Theo James,1984-12-16
Rooney Mara,1985-04-17
Sharon Leal,1972-10-17
Sally Hawkins,1976-04-27
Lake Bell,1979-03-24
Juno Temple,1989-07-21
Carey Mulligan,1985-05-28
Boris Kodjoe,1973-03-08
Matthew Goode,1978-04-03
Frankie Muniz,1985-12-05
Jeffrey Dean Morgan,1966-04-22
AnnaSophia Robb,1993-12-08
Michael Nyqvist,1960-11-08
Brenton Thwaites,1989-08-10
Alexa Davalos,1982-05-28
Ben Barnes, 1981-08-20
Vanessa Hudgens,1988-12-14
Abbie Cornish,1982-08-07
Zach Braff,1975-04-06
Thomas Jane,1969-02-22
Armie Hammer,1986-08-28
Amy Ryan,1968-05-03
Bow Wow, 1987-03-09
Chris Brown,1989-05-05
Will Forte,1970-06-17
Kodi Smit-McPhee,1996-06-13
Dane DeHaan,1986-02-06
Emily Browning,1988-12-07
Corey Haim,1971-12-23
Matthew Perry,1969-08-19
Max Thieriot,1988-10-14
Eddie Redmayne,1982-01-06
Leighton Meester,1986-04-09
Alex Pettyfer,1990-04-10
Martin Donovan,1957-08-19
Jessica Lucas,1985-09-24
Jim Sturgess,1978-05-16
Mireille Enos,1975-09-22
Erika Christensen,1982-08-19
Melanie Laurent,1983-02-21
Brandon Routh,1979-10-09
Kevin Smith,1970-08-02
Mo'Nique,1967-12-11
Peter Krause,1965-08-12
Adam DeVine,1983-11-07
Saoirse Ronan,1994-04-12
Rihanna,1988-02-20
Chris Farley,1964-02-15
Amber Heard,1986-04-22
Chris Messina,1974-08-11
Jack O'Connell, 1990-08-01
Peter Berg,1962-03-11
Selena Gomez,1992-07-22
Gillian Anderson,1968-08-09
Jenna Fischer,1974-03-07
Brooklyn Decker,1987-04-12
Ne-Yo,1979-10-18
50 Cent,1975-07-06
Adrianne Palicki,1983-05-06
Zoe Kazan,1983-09-09
Julianne Hough,1988-07-20
Christopher Guest,1948-02-05
Keith Gordon,1961-02-03
Anna Friel,1976-07-12
Amanda Crew,1986-06-05
Alex Russell, 1987-12-11
Kaley Cuoco,1985-11-30
Zachary Gordon,1998-02-15
Aziz Ansari,1983-02-23
Rosemarie DeWitt,1971-10-26
Katie Cassidy,1986-11-25
Sarah Polley,1979-01-08
Eminem,1972-10-17
Suraj Sharma,1993-03-21
Cody Horn,1988-06-12
Tupac Shakur,1971-06-16
Jeremy Sumpter,1989-02-05
Analeigh Tipton,1988-11-09
Elisabeth Moss,1982-07-24
Romola Garai,1982-08-06
Chadwick Boseman,1976-11-29
Penn Badgley,1986-11-01
Lance Reddick,1962-12-31
Thomas Mann,1875-06-06
Sean 'P. Diddy' Combs,
Nikki Blonsky,1988-11-09
Imogen Poots,1989-06-03
Roberto Benigni,1952-10-27
Noah Ringer,1996-11-18
Dianna Agron,1986-04-30
Greta Gerwig,1983-08-04
Keenen Ivory Wayans,1958-06-08
Gabourey Sidibe,1983-05-06
Goran Visnjic,1972-09-09
Gael Garcia Bernal,1978-11-30
Sofia Coppola,1971-05-14
Sophie Cookson,1990-05-15
Taron Egerton,1989-11-10
Matt LeBlanc,1967-07-25
Kate Upton,1992-06-10
Sophie Okonedo,1968-08-11
Jenna Dewan-Tatum,1980-12-03
Chloe Sevigny,1974-11-18
Julie Delpy,1969-12-21
Rob Reiner,1947-03-06
Thomas Dekker, 1987-12-28
Mark Duplass,1976-12-07
Max Records,1997-06-18
Dan Stevens,1982-10-10
Katee Sackhoff,1980-04-08
Bella Thorne,1997-10-08
Michael B. Jordan,1987-02-09
Rachel Bilson,1981-08-25
Jay Chou,1979-01-18
Dustin Ingram, 1990-01-25
Shiloh Fernandez,1985-02-26
Alyson Michalka,1989-03-25
Max Irons,1985-10-17
Quvenzhane Wallis,2003-08-28
Aubrey Plaza,1984-06-26
Portia Doubleday,1988-06-22
Wilmer Valderrama,1980-01-30
Jason O'Mara,1972-08-06
Ryan Guzman,1987-09-21
Alex Kendrick, 0
Mary-Kate Olsen,1986-06-13
Chace Crawford,1985-07-18
Nicki Minaj,1982-12-08
Justin Bieber,1994-03-01
Werner Herzog,1942-09-05
Quinton 'Rampage' Jackson,
Cecile de France,1975-07-17
Garry Marshall,1934-11-13
Luke Bracey,1989-04-26
Emilie de Ravin,1981-12-27
Katherine McPhee,1984-03-25
Jorma Taccone,1977-03-19
Taylor Schilling,1984-07-27
Kenny Wormald,1984-07-27
Carlos Mencia,1967-10-22
Callan McAuliffe,1995-01-24
Boyd Holbrook,1981-09-01
Ashley Bell,1986-05-26
Quentin Tarantino,1963-03-27
M. Night Shyamalan,1970-08-06
Matisyahu,1979-06-30
Melissa Benoist,1988-10-04
Felicity Jones,1983-10-17
Naturi Naughton,1984-05-20
Rhys Wakefield,1988-11-20
Carrie Underwood,1983-03-10
Scott Mescudi,1984-01-30
Colin Egglesfield,1973-02-09
Minka Kelly,1980-06-24
John Cena,1977-04-23
Tye Sheridan,1996-11-11
Claire Foy,1984-04-16
Thomas Horn,1997-12-14
Ellen Wong, 1985-01-13
John Wayne,1907-05-26
Ezra Miller,1992-09-30
Mike Binder,1958-06-02
Tom Sturridge,1985-12-21
Crystal Reed,1985-02-06
Demetri Martin,1973-05-25
John Cameron Mitchell,1963-04-21
Brit Marling,1983-08-07
Harold Ramis,1944-11-21
Jessica Brown Findlay,1989-09-14
Aimee Teegarden,1989-10-10
Josh Zuckerman, 1985-04-01
Vincent Gallo,1961-04-11
Miranda July,1974-02-15
Jim Jarmusch,1953-01-22
